Date;Signal 1;Signal 2;Signal 3;Signal 4;Signal 5;Signal 6;Signal 7
01/01/1998;0.996031746;0;0;2.195790529;0;#N/A;#N/A
02/01/1998;0.988095238;0.939153439;0.956159224;2.178339481;0.934002869;23.42;#N/A
05/01/1998;0.984126984;0.937830688;0.954629437;2.161858082;0.934002869;24.360001;#N/A
06/01/1998;0.98015873;0.937830688;0.953855123;2.142903328;0.931133429;25.66;#N/A
07/01/1998;0.972222222;0.935185185;0.950137363;2.124910116;0.929698709;25.07;#N/A
08/01/1998;0.976190476;0.939153439;0.953798283;2.1059196;0.934002869;26.01;#N/A
09/01/1998;1;0.947089947;0.962586943;2.102709532;0.93974175;28.690001;#N/A
12/01/1998;0.996031746;0.957671958;0.969938312;2.098654509;0.946915352;28.02;#N/A
13/01/1998;0.996031746;0.958994709;0.970869424;2.093638659;0.946915352;25.17;#N/A
14/01/1998;0.992063492;0.952380952;0.965863789;2.087895393;0.93830703;23.75;#N/A
15/01/1998;0.988095238;0.948412698;0.962563567;2.081826448;0.93687231;23.450001;#N/A
16/01/1998;0.984126984;0.952380952;0.964506858;2.075849771;0.93687231;21.65;#N/A
19/01/1998;0.984126984;0.954365079;0.966567528;2.066597462;0.941176471;21.65;#N/A
20/01/1998;0.992063492;0.956349206;0.968628198;2.053689718;0.945480631;21.65;#N/A
21/01/1998;0.968253968;0.94047619;0.952298352;2.041500568;0.932568149;22.530001;#N/A
22/01/1998;0.964285714;0.935185185;0.947671851;2.027297735;0.929698709;23.16;#N/A
23/01/1998;0.96031746;0.924603175;0.93975307;2.014345169;0.913916786;23.32;#N/A
26/01/1998;0.956349206;0.919312169;0.935131218;2.001355886;0.912482066;23.969999;#N/A
27/01/1998;0.952380952;0.917989418;0.9329429;1.987558484;0.911047346;22.27;#N/A
28/01/1998;0.948412698;0.916666667;0.930697424;1.975141406;0.909612626;22.059999;#N/A
29/01/1998;0.944444444;0.915343915;0.928400166;1.960915208;0.908177905;21.65;#N/A
30/01/1998;0.94047619;0.914021164;0.926055953;1.927530646;0.909612626;21.469999;#N/A
02/02/1998;0.952380952;0.917989418;0.9329429;1.902549386;0.912482066;21.360001;#N/A
03/02/1998;0.948412698;0.916666667;0.930697424;1.875290036;0.912482066;20.67;#N/A
04/02/1998;0.948412698;0.915343915;0.92990042;1.850177646;0.909612626;20.549999;#N/A
05/02/1998;0.94047619;0.912698413;0.925285038;1.824893832;0.908177905;21.290001;#N/A
06/02/1998;0.924603175;0.91005291;0.917008554;1.798138618;0.905308465;20.51;#N/A
09/02/1998;0.928571429;0.908730159;0.918048109;1.772532582;0.905308465;21.549999;#N/A
10/02/1998;0.920634921;0.904761905;0.912338405;1.745697021;0.901004304;20.66;#N/A
